"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","name","popularity","artist","in_playlist"
"0.549","0.124","0","-13.793","0","0.0397","0.938","0.00175","0.126","0.32","66.184","audio_features","0MfK7lsLUvMq2CURkt61uF","spotify:track:0MfK7lsLUvMq2CURkt61uF","https://api.spotify.com/v1/tracks/0MfK7lsLUvMq2CURkt61uF","https://api.spotify.com/v1/audio-analysis/0MfK7lsLUvMq2CURkt61uF","360827","4","My Funny Valentine","14","Miles Davis Quintet","0"
"0.742","0.671","5","-8.142","0","0.0407","0.794","0.00441","0.122","0.591","127.359","audio_features","1CDBaGlisZlOJzvx88lL8A","spotify:track:1CDBaGlisZlOJzvx88lL8A","https://api.spotify.com/v1/tracks/1CDBaGlisZlOJzvx88lL8A","https://api.spotify.com/v1/audio-analysis/1CDBaGlisZlOJzvx88lL8A","438280","4","Song For My Father - 1999 Digital Remaster; Rudy Van Gelder Edition","56","Horace Silver","0"
"0.485","0.454","8","-12.676","1","0.034","0.442","3.12E-05","0.0866","0.809","151.069","audio_features","77b1v5Vohuobvvu61VrhKR","spotify:track:77b1v5Vohuobvvu61VrhKR","https://api.spotify.com/v1/tracks/77b1v5Vohuobvvu61VrhKR","https://api.spotify.com/v1/audio-analysis/77b1v5Vohuobvvu61VrhKR","626667","4","The Sidewinder","49","Lee Morgan","0"
"0.621","0.0335","2","-21.479","0","0.0395","0.555","0.93","0.218","0.126","104.036","audio_features","3QxZooLdeJBAf0x405DDI7","spotify:track:3QxZooLdeJBAf0x405DDI7","https://api.spotify.com/v1/tracks/3QxZooLdeJBAf0x405DDI7","https://api.spotify.com/v1/audio-analysis/3QxZooLdeJBAf0x405DDI7","243333","4","From Gagarin's Point of View","15","Esbjörn Svensson Trio","0"
"0.665","0.359","1","-8.887","1","0.0326","0.801","0.106","0.145","0.4","111.639","audio_features","3Ysj0cl3Jlb6Ysp6um8QI7","spotify:track:3Ysj0cl3Jlb6Ysp6um8QI7","https://api.spotify.com/v1/tracks/3Ysj0cl3Jlb6Ysp6um8QI7","https://api.spotify.com/v1/audio-analysis/3Ysj0cl3Jlb6Ysp6um8QI7","368747","4","Along Came Betty","49","Art Blakey","0"
"0.453","0.367","2","-16.245","0","0.0343","0.0708","0.00183","0.1","0.127","140.832","audio_features","489alJQIWUauqzKTMuXRjm","spotify:track:489alJQIWUauqzKTMuXRjm","https://api.spotify.com/v1/tracks/489alJQIWUauqzKTMuXRjm","https://api.spotify.com/v1/audio-analysis/489alJQIWUauqzKTMuXRjm","179293","3","Cool Out","15","Leroy Hutson","0"
"0.425","0.0429","1","-24.86","1","0.0408","0.951","0.0184","0.148","0.255","96.097","audio_features","4bRNH9mxHDszZGskpBFhPq","spotify:track:4bRNH9mxHDszZGskpBFhPq","https://api.spotify.com/v1/tracks/4bRNH9mxHDszZGskpBFhPq","https://api.spotify.com/v1/audio-analysis/4bRNH9mxHDszZGskpBFhPq","419627","4","A Nightingale Sang In Berkeley Square","19","Stan Getz","0"
"0.651","0.143","5","-22.617","1","0.0531","0.752","0.421","0.138","0.601","78.792","audio_features","6OH7UCFY7SEJxxQkaYfAv8","spotify:track:6OH7UCFY7SEJxxQkaYfAv8","https://api.spotify.com/v1/tracks/6OH7UCFY7SEJxxQkaYfAv8","https://api.spotify.com/v1/audio-analysis/6OH7UCFY7SEJxxQkaYfAv8","519600","4","Comin' Home Baby","51","Herbie Mann","0"
"0.53","0.454","7","-11.19","0","0.028","0.768","0.116","0.113","0.492","135.947","audio_features","4oO0i2eMDIWJfDduh3fv9O","spotify:track:4oO0i2eMDIWJfDduh3fv9O","https://api.spotify.com/v1/tracks/4oO0i2eMDIWJfDduh3fv9O","https://api.spotify.com/v1/audio-analysis/4oO0i2eMDIWJfDduh3fv9O","449773","3","Footprints (Remastered)","48","Wayne Shorter","0"
"0.581","0.163","0","-16.612","0","0.0547","0.926","0.861","0.116","0.448","88.101","audio_features","3hY3MPL9hAITPgVfiVlL5K","spotify:track:3hY3MPL9hAITPgVfiVlL5K","https://api.spotify.com/v1/tracks/3hY3MPL9hAITPgVfiVlL5K","https://api.spotify.com/v1/audio-analysis/3hY3MPL9hAITPgVfiVlL5K","347773","4","Stella By Starlight","49","Joe Lovano","0"
"0.509","0.224","0","-11.123","1","0.0327","0.736","0.301","0.327","0.17","112.355","audio_features","3QuSHJUfvuOyeKMS32Wckj","spotify:track:3QuSHJUfvuOyeKMS32Wckj","https://api.spotify.com/v1/tracks/3QuSHJUfvuOyeKMS32Wckj","https://api.spotify.com/v1/audio-analysis/3QuSHJUfvuOyeKMS32Wckj","403360","4","April In Paris - 2007 Remaster/Rudy Van Gelder Edition","52","Thad Jones","0"
"0.615","0.204","7","-16.075","1","0.0439","0.872","0.382","0.071","0.496","96.47","audio_features","3X3p3u03P8eFL8WTH0oaaU","spotify:track:3X3p3u03P8eFL8WTH0oaaU","https://api.spotify.com/v1/tracks/3X3p3u03P8eFL8WTH0oaaU","https://api.spotify.com/v1/audio-analysis/3X3p3u03P8eFL8WTH0oaaU","344067","4","Fair Weather - Remastered","52","Art Farmer","0"
"0.476","0.251","9","-13.854","0","0.0278","0.769","0.774","0.0637","0.37","98.833","audio_features","6f7r5i4xVwePkHDHwwMK75","spotify:track:6f7r5i4xVwePkHDHwwMK75","https://api.spotify.com/v1/tracks/6f7r5i4xVwePkHDHwwMK75","https://api.spotify.com/v1/audio-analysis/6f7r5i4xVwePkHDHwwMK75","354973","4","A Day In The Life","12","Wes Montgomery","0"
"0.704","0.277","0","-11.675","1","0.035","0.814","0.756","0.0845","0.322","90.38","audio_features","6oWhUfePc5h9r5pfw7wvPN","spotify:track:6oWhUfePc5h9r5pfw7wvPN","https://api.spotify.com/v1/tracks/6oWhUfePc5h9r5pfw7wvPN","https://api.spotify.com/v1/audio-analysis/6oWhUfePc5h9r5pfw7wvPN","597280","4","Midnight Special - Rudy Van Gelder Digital Remaster/2007","51","Jimmy Smith","0"
"0.468","0.391","2","-13.196","0","0.0269","0.658","0.0617","0.111","0.342","142.413","audio_features","1ChYuSIoOFDVY6fHSXF6zS","spotify:track:1ChYuSIoOFDVY6fHSXF6zS","https://api.spotify.com/v1/tracks/1ChYuSIoOFDVY6fHSXF6zS","https://api.spotify.com/v1/audio-analysis/1ChYuSIoOFDVY6fHSXF6zS","550493","4","Questar","53","Keith Jarrett","0"
"0.631","0.197","0","-15.774","0","0.0489","0.886","0.000587","0.332","0.67","87.544","audio_features","5TGGsgsY7WS5Q1w8N581wD","spotify:track:5TGGsgsY7WS5Q1w8N581wD","https://api.spotify.com/v1/tracks/5TGGsgsY7WS5Q1w8N581wD","https://api.spotify.com/v1/audio-analysis/5TGGsgsY7WS5Q1w8N581wD","185307","4","Bags' Groove - Rudy Van Gelder 2001 - Remaster","10","Milt Jackson","0"
"0.629","0.283","0","-17.384","0","0.0436","0.816","0.000437","0.192","0.862","104.739","audio_features","0iEtT7O43pat2fu6jdaCKl","spotify:track:0iEtT7O43pat2fu6jdaCKl","https://api.spotify.com/v1/tracks/0iEtT7O43pat2fu6jdaCKl","https://api.spotify.com/v1/audio-analysis/0iEtT7O43pat2fu6jdaCKl","237447","4","Sunday","15","Ben Webster","0"
"0.58","0.48","7","-7.682","0","0.0339","0.837","0.00432","0.171","0.48","108.892","audio_features","7CnOzCWGrTINcDExG6u99y","spotify:track:7CnOzCWGrTINcDExG6u99y","https://api.spotify.com/v1/tracks/7CnOzCWGrTINcDExG6u99y","https://api.spotify.com/v1/audio-analysis/7CnOzCWGrTINcDExG6u99y","563613","4","Cool Struttin'","50","Sonny Clark","0"
"0.334","0.238","4","-18.068","0","0.0322","0.87","0.91","0.103","0.113","75.16","audio_features","4KGcpnAbGlvVgd2HFQvexI","spotify:track:4KGcpnAbGlvVgd2HFQvexI","https://api.spotify.com/v1/tracks/4KGcpnAbGlvVgd2HFQvexI","https://api.spotify.com/v1/audio-analysis/4KGcpnAbGlvVgd2HFQvexI","309267","4","Dolphin Dance","42","Ahmad Jamal Trio","0"
"0.397","0.329","5","-13.317","1","0.0398","0.611","0.84","0.207","0.462","166.831","audio_features","10IBJvHwySS2hN4IerZg3J","spotify:track:10IBJvHwySS2hN4IerZg3J","https://api.spotify.com/v1/tracks/10IBJvHwySS2hN4IerZg3J","https://api.spotify.com/v1/audio-analysis/10IBJvHwySS2hN4IerZg3J","435040","3","Theme for Maxine","42","Woody Shaw","0"
"0.539","0.0678","0","-18.039","1","0.0468","0.967","0.168","0.114","0.263","124.105","audio_features","4zPDjRgceGrR0Sm54YDTTf","spotify:track:4zPDjRgceGrR0Sm54YDTTf","https://api.spotify.com/v1/tracks/4zPDjRgceGrR0Sm54YDTTf","https://api.spotify.com/v1/audio-analysis/4zPDjRgceGrR0Sm54YDTTf","294667","4","Autumn Nocturne","56","Lou Donaldson","0"
"0.456","0.222","0","-16.879","1","0.0354","0.938","0.806","0.24","0.15","112.725","audio_features","4qRJ7ZJyfzchEd2fjle7Bz","spotify:track:4qRJ7ZJyfzchEd2fjle7Bz","https://api.spotify.com/v1/tracks/4qRJ7ZJyfzchEd2fjle7Bz","https://api.spotify.com/v1/audio-analysis/4qRJ7ZJyfzchEd2fjle7Bz","392000","4","Search For Peace","51","McCoy Tyner","0"
"0.506","0.493","8","-7.759","1","0.0427","0.798","0.00355","0.307","0.584","134.77","audio_features","6ZgaUtMlUzUf7SqbUUnfbu","spotify:track:6ZgaUtMlUzUf7SqbUUnfbu","https://api.spotify.com/v1/tracks/6ZgaUtMlUzUf7SqbUUnfbu","https://api.spotify.com/v1/audio-analysis/6ZgaUtMlUzUf7SqbUUnfbu","644013","4","Blue Train - Remastered 2003","56","John Coltrane","0"
"0.396","0.127","9","-23.48","1","0.0338","0.928","0.627","0.697","0.126","117.802","audio_features","6J973mNweqCDzoGfl2v8SA","spotify:track:6J973mNweqCDzoGfl2v8SA","https://api.spotify.com/v1/tracks/6J973mNweqCDzoGfl2v8SA","https://api.spotify.com/v1/audio-analysis/6J973mNweqCDzoGfl2v8SA","297320","4","My Foolish Heart","17","Bill Evans Trio","0"
"0.438","0.182","2","-15.209","0","0.0338","0.983","0.841","0.119","0.0639","65.535","audio_features","7hDq6sOZ5Rl1XnSSfoOBRK","spotify:track:7hDq6sOZ5Rl1XnSSfoOBRK","https://api.spotify.com/v1/tracks/7hDq6sOZ5Rl1XnSSfoOBRK","https://api.spotify.com/v1/audio-analysis/7hDq6sOZ5Rl1XnSSfoOBRK","284187","3","Nature Boy","49","Jan Johansson","0"
"0.482","0.362","11","-14.28","0","0.0305","0.888","0.905","0.178","0.396","92.302","audio_features","3yV23Y1w7Uoc4Zw10L3Bwy","spotify:track:3yV23Y1w7Uoc4Zw10L3Bwy","https://api.spotify.com/v1/tracks/3yV23Y1w7Uoc4Zw10L3Bwy","https://api.spotify.com/v1/audio-analysis/3yV23Y1w7Uoc4Zw10L3Bwy","284173","4","Stefanie","52","James Moody","0"
"0.293","0.237","9","-15.53","0","0.0381","0.754","0.45","0.121","0.0848","59.749","audio_features","5XPTuQXrCc8UPDExxVa4vh","spotify:track:5XPTuQXrCc8UPDExxVa4vh","https://api.spotify.com/v1/tracks/5XPTuQXrCc8UPDExxVa4vh","https://api.spotify.com/v1/audio-analysis/5XPTuQXrCc8UPDExxVa4vh","282600","4","Quiet Temple","53","Donald Byrd & Booker Little","0"
"0.594","0.115","8","-14.916","1","0.044","0.99","0.853","0.107","0.456","126.902","audio_features","1Lh7U5c3EvLBb6lSgHVFlR","spotify:track:1Lh7U5c3EvLBb6lSgHVFlR","https://api.spotify.com/v1/tracks/1Lh7U5c3EvLBb6lSgHVFlR","https://api.spotify.com/v1/audio-analysis/1Lh7U5c3EvLBb6lSgHVFlR","170626","4","All the Things You Are","47","Charlie Parker","0"
"0.597","0.263","7","-21.112","0","0.0284","0.959","0.9","0.134","0.262","94.44","audio_features","0Pq0mOdgFXTezl6mMt8a39","spotify:track:0Pq0mOdgFXTezl6mMt8a39","https://api.spotify.com/v1/tracks/0Pq0mOdgFXTezl6mMt8a39","https://api.spotify.com/v1/audio-analysis/0Pq0mOdgFXTezl6mMt8a39","255533","4","San Juan Sunset","48","Deodato","0"
"0.535","0.205","1","-17.222","1","0.0359","0.815","0.503","0.121","0.122","81.814","audio_features","7GXOrNqnHdJasc81GlKH2D","spotify:track:7GXOrNqnHdJasc81GlKH2D","https://api.spotify.com/v1/tracks/7GXOrNqnHdJasc81GlKH2D","https://api.spotify.com/v1/audio-analysis/7GXOrNqnHdJasc81GlKH2D","380933","4","The Awakening","41","Ahmad Jamal Trio","0"
"0.521","0.403","1","-13.919","1","0.0417","0.429","8.82E-05","0.634","0.626","98.008","audio_features","7tgMwYcqWpfZXKIyFcu62O","spotify:track:7tgMwYcqWpfZXKIyFcu62O","https://api.spotify.com/v1/tracks/7tgMwYcqWpfZXKIyFcu62O","https://api.spotify.com/v1/audio-analysis/7tgMwYcqWpfZXKIyFcu62O","581138","4","Bye-Ya","51","Thelonious Monk","0"
"0.517","0.0917","0","-18.395","1","0.0336","0.876","0.629","0.108","0.0836","95.068","audio_features","72PqmnVj86bfTnkFiQ9Mx9","spotify:track:72PqmnVj86bfTnkFiQ9Mx9","https://api.spotify.com/v1/tracks/72PqmnVj86bfTnkFiQ9Mx9","https://api.spotify.com/v1/audio-analysis/72PqmnVj86bfTnkFiQ9Mx9","267173","4","Where We Used To Live","58","Esbjörn Svensson Trio","0"
"0.503","0.344","1","-19.024","1","0.0369","0.673","0.381","0.096","0.468","108.489","audio_features","0m8tSPLHhjhGToD6LW0RPp","spotify:track:0m8tSPLHhjhGToD6LW0RPp","https://api.spotify.com/v1/tracks/0m8tSPLHhjhGToD6LW0RPp","https://api.spotify.com/v1/audio-analysis/0m8tSPLHhjhGToD6LW0RPp","191933","4","Windows","46","Chick Corea","0"
