"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","name","popularity","artist","in_playlist"
"0.509","0.224","0","-11.123","1","0.0327","0.736","0.301","0.327","0.17","112.355","audio_features","3QuSHJUfvuOyeKMS32Wckj","spotify:track:3QuSHJUfvuOyeKMS32Wckj","https://api.spotify.com/v1/tracks/3QuSHJUfvuOyeKMS32Wckj","https://api.spotify.com/v1/audio-analysis/3QuSHJUfvuOyeKMS32Wckj","403360","4","April In Paris - 2007 Remaster/Rudy Van Gelder Edition","54","Thad Jones","0"
"0.615","0.204","7","-16.075","1","0.0439","0.872","0.382","0.071","0.496","96.47","audio_features","3X3p3u03P8eFL8WTH0oaaU","spotify:track:3X3p3u03P8eFL8WTH0oaaU","https://api.spotify.com/v1/tracks/3X3p3u03P8eFL8WTH0oaaU","https://api.spotify.com/v1/audio-analysis/3X3p3u03P8eFL8WTH0oaaU","344067","4","Fair Weather - Remastered","54","Art Farmer","0"
"0.476","0.251","9","-13.854","0","0.0278","0.769","0.774","0.0637","0.37","98.833","audio_features","6f7r5i4xVwePkHDHwwMK75","spotify:track:6f7r5i4xVwePkHDHwwMK75","https://api.spotify.com/v1/tracks/6f7r5i4xVwePkHDHwwMK75","https://api.spotify.com/v1/audio-analysis/6f7r5i4xVwePkHDHwwMK75","354973","4","A Day In The Life","14","Wes Montgomery","0"
"0.704","0.277","0","-11.675","1","0.035","0.814","0.756","0.0845","0.322","90.38","audio_features","6oWhUfePc5h9r5pfw7wvPN","spotify:track:6oWhUfePc5h9r5pfw7wvPN","https://api.spotify.com/v1/tracks/6oWhUfePc5h9r5pfw7wvPN","https://api.spotify.com/v1/audio-analysis/6oWhUfePc5h9r5pfw7wvPN","597280","4","Midnight Special - Rudy Van Gelder Digital Remaster/2007","53","Jimmy Smith","0"
"0.468","0.391","2","-13.196","0","0.0269","0.658","0.0617","0.111","0.342","142.413","audio_features","1ChYuSIoOFDVY6fHSXF6zS","spotify:track:1ChYuSIoOFDVY6fHSXF6zS","https://api.spotify.com/v1/tracks/1ChYuSIoOFDVY6fHSXF6zS","https://api.spotify.com/v1/audio-analysis/1ChYuSIoOFDVY6fHSXF6zS","550493","4","Questar","52","Keith Jarrett","0"
"0.631","0.197","0","-15.774","0","0.0489","0.886","0.000587","0.332","0.67","87.544","audio_features","5TGGsgsY7WS5Q1w8N581wD","spotify:track:5TGGsgsY7WS5Q1w8N581wD","https://api.spotify.com/v1/tracks/5TGGsgsY7WS5Q1w8N581wD","https://api.spotify.com/v1/audio-analysis/5TGGsgsY7WS5Q1w8N581wD","185307","4","Bags' Groove - Rudy Van Gelder 2001 - Remaster","13","Milt Jackson","0"
"0.629","0.283","0","-17.384","0","0.0436","0.816","0.000437","0.192","0.862","104.739","audio_features","0iEtT7O43pat2fu6jdaCKl","spotify:track:0iEtT7O43pat2fu6jdaCKl","https://api.spotify.com/v1/tracks/0iEtT7O43pat2fu6jdaCKl","https://api.spotify.com/v1/audio-analysis/0iEtT7O43pat2fu6jdaCKl","237447","4","Sunday","18","Ben Webster","0"
"0.58","0.48","7","-7.682","0","0.0339","0.837","0.00432","0.171","0.48","108.892","audio_features","7CnOzCWGrTINcDExG6u99y","spotify:track:7CnOzCWGrTINcDExG6u99y","https://api.spotify.com/v1/tracks/7CnOzCWGrTINcDExG6u99y","https://api.spotify.com/v1/audio-analysis/7CnOzCWGrTINcDExG6u99y","563613","4","Cool Struttin'","52","Sonny Clark","0"
"0.334","0.238","4","-18.068","0","0.0322","0.87","0.91","0.103","0.113","75.16","audio_features","4KGcpnAbGlvVgd2HFQvexI","spotify:track:4KGcpnAbGlvVgd2HFQvexI","https://api.spotify.com/v1/tracks/4KGcpnAbGlvVgd2HFQvexI","https://api.spotify.com/v1/audio-analysis/4KGcpnAbGlvVgd2HFQvexI","309267","4","Dolphin Dance","44","Ahmad Jamal Trio","0"
"0.397","0.329","5","-13.317","1","0.0398","0.611","0.84","0.207","0.462","166.831","audio_features","10IBJvHwySS2hN4IerZg3J","spotify:track:10IBJvHwySS2hN4IerZg3J","https://api.spotify.com/v1/tracks/10IBJvHwySS2hN4IerZg3J","https://api.spotify.com/v1/audio-analysis/10IBJvHwySS2hN4IerZg3J","435040","3","Theme for Maxine","44","Woody Shaw","0"
